dataset,num_positive_bucket,source_file,selection_betas,num_positive,top_k,pubmed_retrieved,pubmed_precision,pubmed_recall,subset_retrieved,subset_precision,subset_recall,pseudo_precision,pseudo_recall,optimization_score,qg_time_seconds,query_size_paths,query_size_avg_path_len,query_size_ANDs,query_size_NOTs,query_size_added_ORs,query_size_synonym_ORs,query_size_ORs,logical_operators,pubmed_f1,pubmed_f3
tar2018,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.5,maxd=4,maxf=0.58,mof=10,maxs=None,midre=0.001,midrs=0.0325,mins=3,mwfl=0.001,ne=50,pfs=1.1,rmf=1.2,rmidr=0.3,rweight=4,k=0.5,tkoc=1500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.01,mrp=0.01,mto=0.07,pb=0.3,te=False,tiab=True/qg_results.jsonl","1,2",22.137931034482758,73.06896551724138,601.5862068965517,0.03599866295180148,0.31826416590284656,106.82758620689656,0.13112628644702426,0.49724230204739944,0.3793806596188898,0.4928473275880984,0.360277212781574,2.843812177921164,1.0344827586206897,2.4482758620689653,1.5172413793103448,0.0,1.1379310344827587,0.0,1.1724137931034482,2.689655172413793,0.055696255616447296,0.12699303241198573
sigir2017,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.5,maxd=4,maxf=0.58,mof=10,maxs=None,midre=0.001,midrs=0.0325,mins=3,mwfl=0.001,ne=50,pfs=1.1,rmf=1.2,rmidr=0.3,rweight=4,k=0.5,tkoc=1500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.01,mrp=0.01,mto=0.07,pb=0.3,te=False,tiab=True/qg_results.jsonl","1,2",10.922077922077921,39.34415584415584,2352.4025974025976,0.008694855003533144,0.5183230816502705,85.63636363636364,0.12432401365834612,0.5944142211082557,0.3457251239443167,0.5528587955913983,0.3301358427764159,1.8595049520591638,1.0584415584415585,2.064935064935065,1.1623376623376624,0.0,0.6103896103896104,0.0,0.6688311688311688,1.8311688311688312,0.016439506068801422,0.06175143927185334
sr_updates,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.5,maxd=4,maxf=0.58,mof=10,maxs=None,midre=0.001,midrs=0.0325,mins=3,mwfl=0.001,ne=50,pfs=1.1,rmf=1.2,rmidr=0.3,rweight=4,k=0.5,tkoc=1500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.01,mrp=0.01,mto=0.07,pb=0.3,te=False,tiab=True/qg_results.jsonl","1,2",15.933333333333334,54.666666666666664,963.3333333333334,0.030981862023054564,0.47933943994813555,89.93333333333334,0.11487417096600452,0.48540004600874165,0.3932116316029784,0.5772506588017493,0.39230355944271694,2.2298590342203775,1.1333333333333333,2.2666666666666666,1.4666666666666666,0.0,0.5333333333333333,0.0,0.6666666666666666,2.1333333333333333,0.05161608383627412,0.12202657357812123
tar2019,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.5,maxd=4,maxf=0.58,mof=10,maxs=None,midre=0.001,midrs=0.0325,mins=3,mwfl=0.001,ne=50,pfs=1.1,rmf=1.2,rmidr=0.3,rweight=4,k=0.5,tkoc=1500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.01,mrp=0.01,mto=0.07,pb=0.3,te=False,tiab=True/qg_results.jsonl","1,2",15.90625,53.53125,654.84375,0.02205281032816249,0.33395556503942997,80.5,0.11892979576799437,0.45077307385195114,0.3762380551873236,0.4706817773139722,0.3551867978489541,2.312617525458336,1.09375,2.3125,1.46875,0.0,1.0,0.0,1.09375,2.5625,0.0373779553823448,0.10228944896179969
tar2019,>=50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.5,maxd=4,maxf=0.58,mof=10,maxs=None,midre=0.001,midrs=0.0325,mins=3,mwfl=0.001,ne=50,pfs=1.1,rmf=1.2,rmidr=0.3,rweight=4,k=0.5,tkoc=1500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.01,mrp=0.01,mto=0.07,pb=0.3,te=False,tiab=True/qg_results.jsonl","1,2",94.41666666666667,300.4166666666667,543.25,0.04695189863036079,0.17300570978124288,289.3333333333333,0.1569579134523487,0.3966894912550054,0.5503118539863702,0.48413496431866404,0.5029644959637195,9.58983943859736,1.0833333333333333,3.0416666666666665,2.25,0.0,2.5833333333333335,0.0,2.6666666666666665,4.916666666666667,0.061399493364508555,0.11243671823641126
sigir2017,>=50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.5,maxd=4,maxf=0.58,mof=10,maxs=None,midre=0.001,midrs=0.0325,mins=3,mwfl=0.001,ne=50,pfs=1.1,rmf=1.2,rmidr=0.3,rweight=4,k=0.5,tkoc=1500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.01,mrp=0.01,mto=0.07,pb=0.3,te=False,tiab=True/qg_results.jsonl","1,2",85.3076923076923,266.6923076923077,3358.769230769231,0.024106635092431525,0.5235767941781976,205.3846153846154,0.262094007216129,0.5919265953801044,0.6099217404528559,0.47888296810130354,0.538103853519332,12.992841152044443,1.4615384615384615,3.0384615384615383,2.8461538461538463,0.0,4.384615384615385,0.0,4.846153846153846,7.6923076923076925,0.04355767242754868,0.1409203651399011
tar2018,>=50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.5,maxd=4,maxf=0.58,mof=10,maxs=None,midre=0.001,midrs=0.0325,mins=3,mwfl=0.001,ne=50,pfs=1.1,rmf=1.2,rmidr=0.3,rweight=4,k=0.5,tkoc=1500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.01,mrp=0.01,mto=0.07,pb=0.3,te=False,tiab=True/qg_results.jsonl","1,2",186.2,526.0666666666667,387.5,0.1046035371680712,0.22590211198503785,482.9,0.19341288071761625,0.542548096288199,0.5486893059265409,0.5151233543461236,0.5158160783605732,24.151837372779845,1.2333333333333334,3.3833333333333333,2.8666666666666667,0.03333333333333333,4.366666666666666,0.0,4.6,7.5,0.12791286859763268,0.18442524371750355
sigir2017,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.3,dc=0.5,maxd=7,maxf=0.63,mof=10,maxs=None,midre=0.0045,midrs=0.043,mins=3,mwfl=0.0004,ne=50,pfs=1.1,rmf=1.5,rmidr=3,rweight=6.5,k=1.2,tkoc=500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.03,mrp=0.01,mto=0.15,pb=0.3,te=False,tiab=True/qg_results.jsonl","3,4,5,6,7,8,9,10",10.922077922077921,94.01298701298701,1638.2662337662337,0.009859344796701511,0.5394301906635943,77.20779220779221,0.10387009181038391,0.6423604985060516,0.5168170091178763,0.4134649822186369,0.4159371862202962,3.775354247588616,1.4350649350649352,2.560606060606061,2.5194805194805197,0.012987012987012988,2.2987012987012987,0.0,2.7337662337662336,5.266233766233766,0.015552328105865402,0.059971374482358966
tar2018,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.3,dc=0.5,maxd=7,maxf=0.63,mof=10,maxs=None,midre=0.0045,midrs=0.043,mins=3,mwfl=0.0004,ne=50,pfs=1.1,rmf=1.5,rmidr=3,rweight=6.5,k=1.2,tkoc=500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.03,mrp=0.01,mto=0.15,pb=0.3,te=False,tiab=True/qg_results.jsonl","3,4,5,6,7,8,9,10",22.137931034482758,174.82758620689654,706.3448275862069,0.053422017550441535,0.37804677995082797,138.55172413793105,0.0985108275601823,0.601071386674835,0.542193915923571,0.4214766282404002,0.46577026354336587,8.509468580114431,1.6206896551724137,3.3218390804597706,4.0,0.10344827586206896,5.275862068965517,0.0,5.896551724137931,10.0,0.07382659783348258,0.14733066850074936
tar2019,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.3,dc=0.5,maxd=7,maxf=0.63,mof=10,maxs=None,midre=0.0045,midrs=0.043,mins=3,mwfl=0.0004,ne=50,pfs=1.1,rmf=1.5,rmidr=3,rweight=6.5,k=1.2,tkoc=500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.03,mrp=0.01,mto=0.15,pb=0.3,te=False,tiab=True/qg_results.jsonl","3,4,5,6,7,8,9,10",15.90625,128.125,1240.09375,0.027052708288995312,0.46995874096366735,116.9375,0.091904568953595,0.550074804250762,0.5118381450462421,0.4259015073673668,0.4374465955772989,5.239994779229164,1.59375,2.78125,3.125,0.03125,2.90625,0.0,3.5,6.65625,0.039161809403206634,0.11527881039146219
