dataset,num_positive_bucket,source_file,selection_betas,num_positive,top_k,pubmed_retrieved,pubmed_precision,pubmed_recall,subset_retrieved,subset_precision,subset_recall,pseudo_precision,pseudo_recall,optimization_score,qg_time_seconds,query_size_paths,query_size_avg_path_len,query_size_ANDs,query_size_NOTs,query_size_added_ORs,query_size_synonym_ORs,query_size_ORs,logical_operators,pubmed_f1,pubmed_f3
sr_updates,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.3,dc=0.5,maxd=7,maxf=0.63,mof=10,maxs=None,midre=0.0045,midrs=0.043,mins=3,mwfl=0.0004,ne=50,pfs=1.1,rmf=1.5,rmidr=3,rweight=6.5,k=1.2,tkoc=500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.03,mrp=0.01,mto=0.15,pb=0.3,te=False,tiab=True/qg_results.jsonl","5,6,7,8,9,10",15.933333333333334,130.73333333333332,415.26666666666665,0.013854789066556223,0.4161125750256185,110.46666666666667,0.09243852434854562,0.5308313570487484,0.5995473826710469,0.4738375637375817,0.5314005543871552,6.374258963267009,1.4666666666666666,2.7444444444444445,2.8,0.0,2.2666666666666666,0.0,0.4666666666666667,5.533333333333333,0.02590572241758797,0.08968215588975927
sigir2017,>=50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.3,dc=0.5,maxd=7,maxf=0.63,mof=10,maxs=None,midre=0.0045,midrs=0.043,mins=3,mwfl=0.0004,ne=50,pfs=1.1,rmf=1.5,rmidr=3,rweight=6.5,k=1.2,tkoc=500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.03,mrp=0.01,mto=0.15,pb=0.3,te=False,tiab=True/qg_results.jsonl","5,6,7,8,9,10",85.3076923076923,639.6153846153846,3903.6153846153848,0.016570947110292448,0.5941582266986289,370.3076923076923,0.17461397034157913,0.701533505225875,0.7178785161487092,0.4236300625827593,0.5663458817477125,59.44087727253254,2.0,3.8333333333333335,5.538461538461538,0.23076923076923078,12.923076923076923,0.0,1.0,19.692307692307693,0.031892048859430616,0.12429106985473343
tar2019,>=50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.3,dc=0.5,maxd=7,maxf=0.63,mof=10,maxs=None,midre=0.0045,midrs=0.043,mins=3,mwfl=0.0004,ne=50,pfs=1.1,rmf=1.5,rmidr=3,rweight=6.5,k=1.2,tkoc=500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.03,mrp=0.01,mto=0.15,pb=0.3,te=False,tiab=True/qg_results.jsonl","5,6,7,8,9,10",94.41666666666667,720.0833333333334,1282.5,0.04021109471706139,0.376972431611252,547.4166666666666,0.11317596424703595,0.5932312215635782,0.6838601991402077,0.510431697802462,0.588920343838498,118.86099314689636,2.25,3.625,6.0,0.4166666666666667,9.916666666666666,0.0,1.25,17.583333333333332,0.0681005839234156,0.17281133369047608
tar2018,>=50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.3,dc=0.5,maxd=7,maxf=0.63,mof=10,maxs=None,midre=0.0045,midrs=0.043,mins=3,mwfl=0.0004,ne=50,pfs=1.1,rmf=1.5,rmidr=3,rweight=6.5,k=1.2,tkoc=500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.03,mrp=0.01,mto=0.15,pb=0.3,te=False,tiab=True/qg_results.jsonl","5,6,7,8,9,10",186.2,1262.2333333333333,1084.9333333333334,0.08857132795460482,0.435679929218674,869.5666666666667,0.14382437638594178,0.6956647985588937,0.7066744574676954,0.4876159671125596,0.5934375334853867,304.2586734135946,1.9666666666666666,4.35,6.133333333333334,0.43333333333333335,13.633333333333333,0.0,0.9666666666666667,21.166666666666668,0.1321293332197201,0.2775975549972962
sigir2017,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.25,maxd=9,maxf=0.24,mof=10,maxs=None,midre=0.015,midrs=0.029,mins=3,mwfl=0.0006,ne=50,pfs=1.1,rmf=0,rmidr=0,rweight=2.5,k=0.6,tkoc=2000/cf=0.002,cb=1,mh_noexp=False,mro=0.02,mrp=0.01,mto=0,pb=0.75,te=False,tiab=True/qg_results.jsonl","3,4",10.922077922077921,47.201298701298704,978.3051948051948,0.009417302019181778,0.5502021081897978,60.77272727272727,0.11597532177554022,0.6913042671043902,0.5066030436667975,0.6577765592253719,0.5388447781142798,14.253261671437846,1.577922077922078,3.054112554112555,3.3701298701298703,0.05844155844155844,5.409090909090909,0.0,0.577922077922078,9.415584415584416,0.01757430372646943,0.06824636029687146
tar2019,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.25,maxd=9,maxf=0.24,mof=10,maxs=None,midre=0.015,midrs=0.029,mins=3,mwfl=0.0006,ne=50,pfs=1.1,rmf=0,rmidr=0,rweight=2.5,k=0.6,tkoc=2000/cf=0.002,cb=1,mh_noexp=False,mro=0.02,mrp=0.01,mto=0,pb=0.75,te=False,tiab=True/qg_results.jsonl","3,4",15.90625,64.28125,527.75,0.022626215608191627,0.3787579418104144,85.9375,0.10017253200821388,0.5442758353912379,0.49326974465057266,0.636147039988944,0.5117547387849491,44.572014443576336,1.90625,3.4218750000000004,4.6875,0.34375,8.625,0.0,0.90625,14.5625,0.039249942451983225,0.1158471009025615
sr_updates,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.25,maxd=9,maxf=0.24,mof=10,maxs=None,midre=0.015,midrs=0.029,mins=3,mwfl=0.0006,ne=50,pfs=1.1,rmf=0,rmidr=0,rweight=2.5,k=0.6,tkoc=2000/cf=0.002,cb=1,mh_noexp=False,mro=0.02,mrp=0.01,mto=0,pb=0.75,te=False,tiab=True/qg_results.jsonl","3,4",15.933333333333334,65.66666666666667,560.6,0.01722350122485049,0.5072193362193362,94.53333333333333,0.10786007601674699,0.5965594453855323,0.5287353804568684,0.7083599383073067,0.5620648535187154,16.738018417358397,1.4,3.155555555555556,3.2,0.06666666666666667,6.6,0.0,0.4,10.266666666666667,0.031121659415329565,0.10113188472528832
tar2018,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.25,maxd=9,maxf=0.24,mof=10,maxs=None,midre=0.015,midrs=0.029,mins=3,mwfl=0.0006,ne=50,pfs=1.1,rmf=0,rmidr=0,rweight=2.5,k=0.6,tkoc=2000/cf=0.002,cb=1,mh_noexp=False,mro=0.02,mrp=0.01,mto=0,pb=0.75,te=False,tiab=True/qg_results.jsonl","3,4",22.137931034482758,87.65517241379311,241.82758620689654,0.05722555816429625,0.30356600586360705,121.27586206896552,0.10568479898753153,0.5195624873098638,0.4940141778075435,0.674690983316002,0.5277537809125833,48.007770168370214,1.8620689655172413,3.8850574712643673,5.206896551724138,0.41379310344827586,11.413793103448276,0.0,0.8620689655172413,17.896551724137932,0.06287035128051816,0.1478822320177029
sigir2017,>=50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.25,maxd=9,maxf=0.24,mof=10,maxs=None,midre=0.015,midrs=0.029,mins=3,mwfl=0.0006,ne=50,pfs=1.1,rmf=0,rmidr=0,rweight=2.5,k=0.6,tkoc=2000/cf=0.002,cb=1,mh_noexp=False,mro=0.02,mrp=0.01,mto=0,pb=0.75,te=False,tiab=True/qg_results.jsonl","3,4",85.3076923076923,320.0769230769231,4525.384615384615,0.01602256806496997,0.5689834211756982,332.84615384615387,0.19599956444640385,0.7220513370067132,0.6062258131238565,0.6407404504392596,0.5776033509628354,247.97594263003424,2.0,4.346153846153846,6.538461538461538,0.15384615384615385,18.23076923076923,0.0,1.0,25.923076923076923,0.030423716839070716,0.11307787557984918
tar2019,>=50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.25,maxd=9,maxf=0.24,mof=10,maxs=None,midre=0.015,midrs=0.029,mins=3,mwfl=0.0006,ne=50,pfs=1.1,rmf=0,rmidr=0,rweight=2.5,k=0.6,tkoc=2000/cf=0.002,cb=1,mh_noexp=False,mro=0.02,mrp=0.01,mto=0,pb=0.75,te=False,tiab=True/qg_results.jsonl","3,4",94.41666666666667,360.3333333333333,780.5,0.046433496231257566,0.36846051164496013,440.1666666666667,0.12800133753675946,0.5451397349854776,0.5818406899281411,0.6849018752433241,0.5818969156741567,340.31879289944965,2.0833333333333335,4.333333333333333,6.666666666666667,0.5833333333333334,19.916666666666668,0.0,1.0833333333333333,28.25,0.07894116515776838,0.1989390709902387
tar2018,>=50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.25,maxd=9,maxf=0.24,mof=10,maxs=None,midre=0.015,midrs=0.029,mins=3,mwfl=0.0006,ne=50,pfs=1.1,rmf=0,rmidr=0,rweight=2.5,k=0.6,tkoc=2000/cf=0.002,cb=1,mh_noexp=False,mro=0.02,mrp=0.01,mto=0,pb=0.75,te=False,tiab=True/qg_results.jsonl","3,4",186.2,631.3666666666667,803.1666666666666,0.1120944411566521,0.410022433965127,703.6333333333333,0.1639253256542377,0.6497706553883248,0.5859315983873559,0.6562392393828272,0.5768031683085344,869.4167988061905,1.8333333333333333,4.727777777777777,6.5,0.4,18.566666666666666,0.0,0.8333333333333334,26.3,0.15877402031349563,0.28142075401752265
tar2019,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.1,dc=2.25,maxd=3,maxf=0.42,mof=10,maxs=None,midre=0.015,midrs=0.008,mins=3,mwfl=0.0001,ne=50,pfs=1.1,rmf=2.7,rmidr=0.9,rweight=1.5,k=1.4,tkoc=3000/cf=0.002,cb=1.1,mh_noexp=False,mro=0.02,mrp=0.01,mto=0.02,pb=0.35,te=False,tiab=False/qg_results.jsonl",23,15.90625,149.40625,14142.8125,0.004685434200854783,0.7885329394804509,200.0,0.057974665911899585,0.7051790707184383,0.46595896891419786,0.628160796520714,0.5040841863147382,6.677509039640427,2.1875,2.885416666666667,3.84375,0.25,9.59375,0.0,1.1875,14.875,0.009224743976535209,0.04132255567534313
sigir2017,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.1,dc=2.25,maxd=3,maxf=0.42,mof=10,maxs=None,midre=0.015,midrs=0.008,mins=3,mwfl=0.0001,ne=50,pfs=1.1,rmf=2.7,rmidr=0.9,rweight=1.5,k=1.4,tkoc=3000/cf=0.002,cb=1.1,mh_noexp=False,mro=0.02,mrp=0.01,mto=0.02,pb=0.35,te=False,tiab=False/qg_results.jsonl",23,10.922077922077921,109.47402597402598,7024.928571428572,0.0024388574521857615,0.7618000241764548,127.01948051948052,0.06180894896692242,0.7632994752138751,0.5032805562281749,0.609673239556058,0.5168989940067467,5.692823036924585,2.272727272727273,2.8490259740259742,4.064935064935065,0.1038961038961039,9.376623376623376,0.0,1.2727272727272727,14.818181818181818,0.004823749223989659,0.022385687924836233
tar2018,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.1,dc=2.25,maxd=3,maxf=0.42,mof=10,maxs=None,midre=0.015,midrs=0.008,mins=3,mwfl=0.0001,ne=50,pfs=1.1,rmf=2.7,rmidr=0.9,rweight=1.5,k=1.4,tkoc=3000/cf=0.002,cb=1.1,mh_noexp=False,mro=0.02,mrp=0.01,mto=0.02,pb=0.35,te=False,tiab=False/qg_results.jsonl",23,22.137931034482758,204.0,6584.0344827586205,0.009259728523954638,0.7375908610166482,264.86206896551727,0.06124306176121144,0.6967279914506301,0.4753166632502763,0.6084715045607376,0.5005142440219705,9.570694257473123,2.2413793103448274,2.9195402298850577,4.0344827586206895,0.20689655172413793,10.413793103448276,0.0,1.2413793103448276,15.89655172413793,0.018062165231721317,0.07618965567720955
sr_updates,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.1,dc=2.25,maxd=3,maxf=0.42,mof=10,maxs=None,midre=0.015,midrs=0.008,mins=3,mwfl=0.0001,ne=50,pfs=1.1,rmf=2.7,rmidr=0.9,rweight=1.5,k=1.4,tkoc=3000/cf=0.002,cb=1.1,mh_noexp=False,mro=0.02,mrp=0.01,mto=0.02,pb=0.35,te=False,tiab=False/qg_results.jsonl",23,15.933333333333334,152.46666666666667,2734.8,0.0067572554647766,0.654661124704603,161.73333333333332,0.06364990323749212,0.6394697910784868,0.5631584783613064,0.6205852930445701,0.5605400419079227,6.4977941354115805,2.1333333333333333,2.7777777777777777,3.8,0.0,7.266666666666667,0.0,1.1333333333333333,12.2,0.013223011855129118,0.057033177348410395
sigir2017,>=50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.1,dc=2.25,maxd=3,maxf=0.42,mof=10,maxs=None,midre=0.015,midrs=0.008,mins=3,mwfl=0.0001,ne=50,pfs=1.1,rmf=2.7,rmidr=0.9,rweight=1.5,k=1.4,tkoc=3000/cf=0.002,cb=1.1,mh_noexp=False,mro=0.02,mrp=0.01,mto=0.02,pb=0.35,te=False,tiab=False/qg_results.jsonl",23,85.3076923076923,746.0769230769231,41814.46153846154,0.003941232057776788,0.8567027238487618,712.6153846153846,0.10019870984377942,0.7864895570481595,0.5597685572737761,0.5432260785203371,0.5094593514435691,28.217180857291588,2.1538461538461537,2.8076923076923075,3.6153846153846154,0.07692307692307693,18.692307692307693,0.0,1.1538461538461537,23.53846153846154,0.007815641383636938,0.03664900117262017
tar2019,>=50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.1,dc=2.25,maxd=3,maxf=0.42,mof=10,maxs=None,midre=0.015,midrs=0.008,mins=3,mwfl=0.0001,ne=50,pfs=1.1,rmf=2.7,rmidr=0.9,rweight=1.5,k=1.4,tkoc=3000/cf=0.002,cb=1.1,mh_noexp=False,mro=0.02,mrp=0.01,mto=0.02,pb=0.35,te=False,tiab=False/qg_results.jsonl",23,94.41666666666667,840.0833333333334,8570.416666666666,0.014281680279870252,0.7795980402269764,937.0833333333334,0.08014912817601381,0.7584976010369219,0.5735281048797346,0.636454926013067,0.5726236334160707,24.3532977104187,2.0,2.805555555555556,3.5833333333333335,0.0,13.5,0.0,1.0,18.083333333333332,0.027839580284232394,0.11644541987486652
tar2018,>=50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.1,dc=2.25,maxd=3,maxf=0.42,mof=10,maxs=None,midre=0.015,midrs=0.008,mins=3,mwfl=0.0001,ne=50,pfs=1.1,rmf=2.7,rmidr=0.9,rweight=1.5,k=1.4,tkoc=3000/cf=0.002,cb=1.1,mh_noexp=False,mro=0.02,mrp=0.01,mto=0.02,pb=0.35,te=False,tiab=False/qg_results.jsonl",23,186.2,1472.4,12206.233333333334,0.01785222828785411,0.8071309960156022,1765.3,0.09000914333819197,0.8037587782719391,0.5555210080585068,0.624703013769246,0.5543018750137425,34.55782992045085,2.1,2.788888888888889,3.566666666666667,0.06666666666666667,13.966666666666667,0.0,1.1,18.7,0.03450719269969453,0.13835239369451185
tar2019,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.2,dc=2,maxd=4,maxf=0.5,mof=10,maxs=None,midre=0.001,midrs=0.001,mins=3,mwfl=0.0002,ne=50,pfs=1.1,rmf=0.9,rmidr=0.9,rweight=1.5,k=1.5,tkoc=500/cf=0.002,cb=1.8,mh_noexp=False,mro=0.01,mrp=0.01,mto=0.12,pb=0.6,te=False,tiab=False/qg_results.jsonl","36,37,38,39,40,41,42,43,44,45,46,47,48,49,50",15.90625,159.875,7710.375,0.0053031442308271864,0.8287438898797514,275.46875,0.04445541806430073,0.786082952449419,0.4006854460146356,0.6854889269119981,0.5424736447137325,8.668531149625778,3.03125,3.090625,6.3125,0.125,9.21875,0.0,2.03125,17.6875,0.010338824402681208,0.043906149963255724
sigir2017,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.2,dc=2,maxd=4,maxf=0.5,mof=10,maxs=None,midre=0.001,midrs=0.001,mins=3,mwfl=0.0002,ne=50,pfs=1.1,rmf=0.9,rmidr=0.9,rweight=1.5,k=1.5,tkoc=500/cf=0.002,cb=1.8,mh_noexp=False,mro=0.01,mrp=0.01,mto=0.12,pb=0.6,te=False,tiab=False/qg_results.jsonl","36,37,38,39,40,41,42,43,44,45,46,47,48,49,50",10.736842105263158,115.59210526315789,9324.71052631579,0.0018994390867642119,0.8123342497907027,185.34868421052633,0.04300907037971257,0.7922294279959213,0.40029115670169896,0.653415496348018,0.5210190194700457,6.782306812311473,3.0657894736842106,2.798339598997494,5.796052631578948,0.046052631578947366,8.901315789473685,0.0,2.0657894736842106,16.80921052631579,0.0037618258139488587,0.017685909205284667
sr_updates,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.2,dc=2,maxd=4,maxf=0.5,mof=10,maxs=None,midre=0.001,midrs=0.001,mins=3,mwfl=0.0002,ne=50,pfs=1.1,rmf=0.9,rmidr=0.9,rweight=1.5,k=1.5,tkoc=500/cf=0.002,cb=1.8,mh_noexp=False,mro=0.01,mrp=0.01,mto=0.12,pb=0.6,te=False,tiab=False/qg_results.jsonl","36,37,38,39,40,41,42,43,44,45,46,47,48,49,50",15.933333333333334,163.26666666666668,5671.2,0.0028726064588261097,0.7315328439676264,257.26666666666665,0.04810170521716908,0.712479954827781,0.4621996011148655,0.6966438948392586,0.5831780328320745,8.59364684422811,3.066666666666667,2.838888888888889,5.933333333333334,0.0,8.2,0.0,2.066666666666667,16.2,0.005715291227043768,0.027443369047589143
